## Bin(cM)	Covariance
   0.0010	  0.04976
   0.0020	  0.04281
   0.0030	  0.03834
   0.0040	  0.03162
   0.0050	  0.02746
   0.0060	  0.02523
   0.0070	  0.02453
   0.0080	  0.02378
   0.0090	  0.02024
   0.0100	  0.02091
   0.0110	  0.02207
   0.0120	  0.01860
   0.0130	  0.02104
   0.0140	  0.02043
   0.0150	  0.02105
   0.0160	  0.02003
   0.0170	  0.01965
   0.0180	  0.01937
   0.0190	  0.01833
   0.0200	  0.01990
   0.0210	  0.01954
   0.0220	  0.01803
   0.0230	  0.01641
   0.0240	  0.01682
   0.0250	  0.01691
   0.0260	  0.01707
   0.0270	  0.01591
   0.0280	  0.01602
   0.0290	  0.01508
   0.0300	  0.01666
   0.0310	  0.01516
   0.0320	  0.01623
   0.0330	  0.01781
   0.0340	  0.01644
   0.0350	  0.01613
   0.0360	  0.01581
   0.0370	  0.01649
   0.0380	  0.01655
   0.0390	  0.01462
   0.0400	  0.01658
   0.0410	  0.01497
   0.0420	  0.01566
   0.0430	  0.01393
   0.0440	  0.01396
   0.0450	  0.01529
   0.0460	  0.01633
   0.0470	  0.01566
   0.0480	  0.01626
   0.0490	  0.01538
   0.0500	  0.01405
   0.0510	  0.01501
   0.0520	  0.01464
   0.0530	  0.01442
   0.0540	  0.01395
   0.0550	  0.01431
   0.0560	  0.01402
   0.0570	  0.01503
   0.0580	  0.01450
   0.0590	  0.01349
   0.0600	  0.01485
   0.0610	  0.01338
   0.0620	  0.01249
   0.0630	  0.01431
   0.0640	  0.01306
   0.0650	  0.01512
   0.0660	  0.01333
   0.0670	  0.01341
   0.0680	  0.01196
   0.0690	  0.01235
   0.0700	  0.01287
   0.0710	  0.01467
   0.0720	  0.01238
   0.0730	  0.01405
   0.0740	  0.01157
   0.0750	  0.01296
   0.0760	  0.01315
   0.0770	  0.01260
   0.0780	  0.01297
   0.0790	  0.01205
   0.0800	  0.01159
   0.0810	  0.01085
   0.0820	  0.01247
   0.0830	  0.01257
   0.0840	  0.01021
   0.0850	  0.01260
   0.0860	  0.01208
   0.0870	  0.01115
   0.0880	  0.01291
   0.0890	  0.01117
   0.0900	  0.01081
   0.0910	  0.01131
   0.0920	  0.01184
   0.0930	  0.01136
   0.0940	  0.01190
   0.0950	  0.01065
   0.0960	  0.01088
   0.0970	  0.01173
   0.0980	  0.01145
   0.0990	  0.01260
   0.1000	  0.01001
   0.1010	  0.01141
   0.1020	  0.01211
   0.1030	  0.01168
   0.1040	  0.01150
   0.1050	  0.01084
   0.1060	  0.01183
   0.1070	  0.01204
   0.1080	  0.01239
   0.1090	  0.01170
   0.1100	  0.01148
   0.1110	  0.01103
   0.1120	  0.01020
   0.1130	  0.01020
   0.1140	  0.01182
   0.1150	  0.00978
   0.1160	  0.01135
   0.1170	  0.01026
   0.1180	  0.01140
   0.1190	  0.01046
   0.1200	  0.01079
   0.1210	  0.01034
   0.1220	  0.01141
   0.1230	  0.01027
   0.1240	  0.01003
   0.1250	  0.01093
   0.1260	  0.01057
   0.1270	  0.01101
